arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.72,-0.888,0.675,-0.811,-159.722,0.017,-0.982,0.604,0.297,-99.509,0.01,-1.121,0.678,0.136,-110.322,0.011,SAmerica,297.392
2.603,1.572,0.797,-1.916,-24.323,0.016,0.311,0.845,0.374,-11.267,0.008,0.488,0.755,-0.167,-15.39,0.01,SAmerica,296.765
2.544,-0.837,0.75,0.183,-51.079,0.018,-0.54,0.645,0.382,-87.709,0.015,-0.79,0.733,0.503,-39.851,0.014,SAmerica,296.435
2.544,-4.035,0.851,0.509,3703.002,0.015,-3.587,0.667,0.444,3939.065,0.016,-0.153,0.842,0.708,2858.086,0.012,SAmerica,296.435
2.57,6.424,0.797,-0.291,987.436,0.02,1.312,0.851,0.72,140.627,0.01,11.47,0.813,0.474,630.44,0.013,SAmerica,298.335
2.141,-16.203,0.626,-0.634,50860.488,0.021,-14.853,0.565,0.318,32865.363,0.014,-29.89,0.567,0.007,39643.805,0.016,SAmerica,298.45
2.283,0.871,0.581,-0.434,-34.201,0.018,-0.176,0.569,0.281,-24.224,0.013,-0.044,0.657,0.171,-26.008,0.014,SAmerica,297.994
2.238,5.593,0.589,-1.806,-555.804,0.018,-0.141,0.551,0.292,-279.134,0.009,4.602,0.675,0.16,-304.089,0.01,SAmerica,294.221
2.63,-0.354,0.736,0.092,471.836,0.016,-0.086,0.727,0.527,340.705,0.011,2.1,0.628,0.258,426.574,0.014,SAmerica,295.398
2.63,-2.111,0.602,-0.459,-322.246,0.023,2.933,0.57,0.175,-453.946,0.017,-4.127,0.491,0.019,-264.232,0.019,SAmerica,295.398
2.715,-0.033,0.576,-1.772,92.804,0.019,-0.841,0.601,0.253,48.176,0.01,-0.513,0.546,-0.467,67.513,0.014,SAmerica,297.151
2.708,0.711,0.757,-0.584,326.345,0.018,-0.824,0.617,0.37,205.879,0.012,0.818,0.788,0.449,192.527,0.011,SAmerica,296.779
3.177,-0.692,0.487,-0.479,-46.488,0.023,-0.829,0.54,0.207,-62.032,0.015,-0.696,0.617,0.302,-31.927,0.016,SAmerica,297.641
2.033,1.83,0.588,-0.419,-143.646,0.019,-1.134,0.626,0.391,112.446,0.013,0.459,0.597,0.247,-104.678,0.014,SAmerica,294.492
3.125,-0.946,0.485,-0.921,136.35,0.018,-0.766,0.585,0.252,85.072,0.011,-0.699,0.389,-0.208,108.126,0.014,SAmerica,296.794
2.579,-2.687,0.745,-1.401,-171.338,0.018,-2.708,0.569,0.158,-101.489,0.011,-2.281,0.754,0.021,-109.417,0.012,SAmerica,296.022
2.834,-0.991,0.653,0.361,-311.704,0.025,-1.056,0.415,0.166,-356.18,0.029,-0.807,0.691,0.477,-281.995,0.023,SAmerica,297.084
2.293,24.218,-0.061,-23.065,-3036.824,0.028,13.107,0.318,-2.038,-1079.074,0.01,31.047,-0.029,-10.969,-2141.701,0.02,SAmerica,299.269
1.956,12.86,0.667,0.227,-1685.486,0.022,-2.084,0.564,0.298,273.047,0.02,9.269,0.688,0.358,-1535.975,0.02,SAmerica,298.311
1.639,2.074,0.526,0.129,-213.323,0.024,-0.174,0.587,0.327,-187.525,0.021,2.573,0.639,0.394,-177.918,0.02,SAmerica,296.622
1.852,-0.243,0.743,0.151,-141.14,0.017,-0.855,0.644,0.375,-121.036,0.014,-0.442,0.688,0.427,-115.872,0.014,SAmerica,294.818
2.475,-1.012,-0.085,-15.68,-1263.845,0.025,-0.691,0.146,-2.29,-561.267,0.011,0.314,-0.123,-7.08,-879.655,0.017,SAmerica,295.694
2.323,-0.158,0.848,0.651,8.607,0.009,-0.788,0.949,0.765,7.062,0.007,-0.237,0.825,0.675,8.307,0.008,SAmerica,297.767
2.323,-0.161,0.827,0.648,80.576,0.018,-0.378,0.695,0.453,100.427,0.022,-0.462,0.812,0.633,82.32,0.018,SAmerica,297.767
2.161,-0.241,0.786,0.142,78.531,0.02,-1.005,0.714,0.505,59.654,0.015,0.084,0.804,0.491,60.475,0.015,SAmerica,295.698
1.923,-1.078,0.569,-0.369,-42.383,0.031,-1.002,0.621,0.376,-28.607,0.021,-0.975,0.598,0.221,-31.984,0.023,SAmerica,298.55
1.871,-0.374,0.657,0.193,229.285,0.016,-1.031,0.643,0.413,195.556,0.014,1.76,0.705,0.474,185.162,0.013,SAmerica,298.261
2.471,-1.236,0.706,0.115,-169.134,0.02,-6.451,0.68,0.37,3203.573,0.017,-1.055,0.755,0.565,-118.596,0.014,SAmerica,295.359
2.504,0.271,0.549,0.162,-399.815,0.024,-0.763,0.634,0.287,-368.938,0.022,-0.161,0.626,0.392,-340.613,0.021,SAmerica,295.488
